district_retained,OLS_residual_skewness
Aghdam,0.496
Aghdara,-0.972
Fuzuli,0.264
Gubadli,0.544
Jabrayil,0.51
Kalbajar,0.498
Khojavand,0.282
Lachin,0.463
Shusha,0.461
Zangilan,-0.471
